PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40053896,Treatment of Pleural Mesothelioma: ASCO Guideline Clinical Insights.,2025 Mar 7,"Dagogo-Jack, Ibiayi; de Perrot, Marc; Ismaila, Nofisat",N/A,N/A
40053891,Maintenance Chemotherapy in Patients With High-Risk Rhabdomyosarcoma: Long-Term Survival Analysis of the European Paediatric Soft Tissue Sarcoma Study Group RMS 2005 Trial.,2025 Mar 7,"De Salvo, Gian Luca; Casanova, Michela; Mandeville, Henry; Coppadoro, Beatrice; van Rijn, Rick; Ben-Arush, Myriam; Glosli, Heidi; Minard-Colin, Veronique","Princess Maxima Center for Pediatric Oncology, Utrecht, the Netherlands.",N/A
40053882,Virtual Health Care Encounters for Lung Cancer Screening in a Safety-Net Population: Observations From the COVID-19 Pandemic.,2025 Mar,"Gwin, Mary E; Bhalla, Sheena; Kandathil, Asha; Malone, Sarah; Watkins, Cynthia; Vice, Lauren; Chatriand, Heather; Moten, Humaira; Tan, Cornelia; Styrvoky, Kim C; Johnson, David H; Semlow, Andrea R; Lee, Jessica L; Browning, Travis; Santini, Noel O; Zhang, Song; Gerber, David E",N/A,N/A
40053881,Early Circulating Tumor DNA Kinetics as a Dynamic Biomarker of Cancer Treatment Response.,2025 Mar,N/A,N/A,N/A
40053865,Identification of Novel Fourth-Generation Allosteric Inhibitors Targeting Inactive State of EGFR T790M/L858R/C797S and T790M/L858R Mutations: A Combined Machine Learning and Molecular Dynamics Approach.,2025 Mar 7,N/A,N/A,N/A
40053838,Real world efficacy of luspatercept in patients with lower-risk myelodysplastic syndromes/neoplasms (MDS); a single center study in a heavily pretreated cohort.,2025 Mar 7,"Kometas, Marisa L; Hoff, Fieke W; Hyak, Jonathan; Irizarry-Gatell, Vivian; Marinos Velarde, Alejandro; Jackson, Clayton; Anderson, Julia; Kalkan, Fatma Neslihan; Ramakrishnan Geethakumari, Praveen; Alvarenga Thiebaud, Julio; Chen, Weina; Weinberg, Olga K; Cantu, Miguel D; Collins, Robert H; Chung, Stephen S; Madanat, Yazan F",N/A,N/A
40053823,A Semiconducting Polymer NanoCRISPR for Near-Infrared Photoactivatable Gene Editing and Cancer Gene Therapy.,2025 Mar 7,N/A,N/A,N/A
40053821,Correlation of noninvasive imaging of tumour-infiltrating lymphocytes with survival and BCG immunotherapy response in patients with bladder cancer: a multicentre cohort study.,2025 Jan 1,N/A,"Guangdong Provincial Key Laboratory of Malignant Tumour Epigenetics and Gene Regulation, Guangdong-Hong Kong Joint Laboratory for RNA Medicine, Medical Research Center, Sun Yat-sen Memorial Hospital, Sun Yat-sen (Zhongshan) University, Guangzhou.; Guangdong Provincial Key Laboratory of Malignant Tumour Epigenetics and Gene Regulation, Guangdong-Hong Kong Joint Laboratory for RNA Medicine, Medical Research Center, Sun Yat-sen Memorial Hospital, Sun Yat-sen (Zhongshan) University, Guangzhou.",N/A
40053811,Heterogeneity of tumor-infiltrating T cells and its impact on anti-PD-1/PD-L1 immunotherapy: insights from integrated multicancer single-cell and bulk transcriptomic analysis.,2025 Jan 1,N/A,N/A,N/A
40053810,Clinical outcomes and short-term survival of neoadjuvant immunochemotherapy for resectable esophageal cancer: a multicenter retrospective cohort study.,2025 Jan 1,N/A,N/A,N/A
